Date,Open,High,Low,Close,Adj Close,Volume
2023-08-30,576.150024,602.900024,576.150024,592.650024,592.650024,75574
2023-08-31,595.900024,624.950012,595.900024,618.500000,618.500000,115396
2023-09-01,624.950012,630.000000,612.000000,621.200012,621.200012,40052
2023-09-04,628.950012,640.099976,623.250000,633.250000,633.250000,32280
2023-09-05,637.849976,637.849976,611.650024,617.200012,617.200012,54072
2023-09-06,620.000000,634.150024,614.799988,623.549988,623.549988,33327
2023-09-07,625.900024,631.049988,586.950012,613.450012,613.450012,41873
2023-09-08,615.049988,622.049988,605.200012,616.250000,616.250000,33215
2023-09-11,612.200012,630.000000,612.200012,619.000000,619.000000,35287
2023-09-12,620.500000,631.950012,550.950012,590.150024,590.150024,75054
2023-09-13,590.900024,610.000000,566.250000,605.349976,605.349976,65708
2023-09-14,608.450012,612.500000,597.000000,599.299988,599.299988,27444
2023-09-15,602.849976,626.900024,601.099976,623.250000,623.250000,36936
2023-09-18,623.000000,629.900024,611.549988,618.500000,618.500000,27491
2023-09-20,613.549988,622.650024,606.700012,616.150024,616.150024,29586
2023-09-21,616.250000,625.000000,605.000000,611.200012,611.200012,20009
2023-09-22,611.150024,618.000000,600.000000,600.950012,600.950012,11322
2023-09-25,597.049988,618.599976,597.049988,611.849976,611.849976,14623
2023-09-26,617.849976,624.799988,607.450012,609.299988,609.299988,20437
2023-09-27,608.049988,617.700012,607.549988,612.500000,612.500000,9394
2023-09-28,617.849976,622.549988,611.099976,615.000000,615.000000,8714
2023-09-29,616.299988,639.549988,614.750000,633.099976,633.099976,73363
2023-10-03,633.000000,633.650024,621.000000,628.799988,628.799988,18793
2023-10-04,628.950012,631.849976,610.150024,612.750000,612.750000,14982
2023-10-05,615.049988,618.849976,602.200012,604.250000,604.250000,33501
2023-10-06,606.849976,609.650024,593.000000,604.849976,604.849976,19608
2023-10-09,580.099976,593.049988,578.000000,581.349976,581.349976,46164
2023-10-10,587.000000,606.599976,587.000000,599.950012,599.950012,29382
2023-10-11,595.049988,623.950012,595.049988,612.650024,612.650024,23758
2023-10-12,619.799988,622.450012,603.000000,618.599976,618.599976,24319
2023-10-13,620.000000,627.000000,614.299988,619.849976,619.849976,23307
2023-10-16,621.049988,621.049988,608.349976,615.849976,615.849976,21486
2023-10-17,617.500000,635.000000,617.500000,629.599976,629.599976,32329
2023-10-18,630.000000,675.000000,630.000000,646.299988,646.299988,156385
2023-10-19,646.000000,658.099976,632.650024,638.950012,638.950012,39766
2023-10-20,640.849976,642.599976,614.700012,623.150024,623.150024,25109
2023-10-23,623.200012,631.150024,587.250000,593.150024,593.150024,33742
2023-10-25,622.599976,622.799988,580.950012,597.700012,597.700012,49471
2023-10-26,591.049988,612.349976,573.450012,603.750000,603.750000,35135
2023-10-27,603.150024,618.049988,603.150024,607.349976,607.349976,40664
2023-10-30,613.700012,614.000000,601.349976,605.849976,605.849976,12308
2023-10-31,609.900024,620.000000,607.000000,615.450012,615.450012,30100
2023-11-01,622.849976,622.849976,596.000000,599.750000,599.750000,25884
2023-11-02,606.549988,615.099976,596.250000,609.099976,609.099976,38516
2023-11-03,611.400024,626.950012,611.400024,617.650024,617.650024,39861
2023-11-06,632.900024,633.349976,605.099976,609.150024,609.150024,42585
2023-11-07,614.849976,625.500000,607.049988,618.349976,618.349976,33100
2023-11-08,623.799988,627.549988,614.650024,624.200012,624.200012,27160
2023-11-09,623.799988,629.549988,615.000000,617.000000,617.000000,13918
2023-11-10,617.000000,629.299988,617.000000,623.700012,623.700012,6854
2023-11-13,625.000000,648.849976,619.000000,642.750000,642.750000,67248
2023-11-15,651.900024,685.900024,651.500000,666.400024,666.400024,130474
2023-11-16,677.750000,679.000000,666.099976,672.000000,672.000000,12557
2023-11-17,680.000000,696.950012,669.500000,674.900024,674.900024,25777
2023-11-20,675.049988,684.900024,671.349976,676.900024,676.900024,26972
2023-11-21,679.900024,692.400024,678.349976,679.799988,679.799988,12436
2023-11-22,682.000000,684.549988,657.450012,663.900024,663.900024,18199
2023-11-23,664.200012,672.900024,654.450012,658.950012,658.950012,19484
2023-11-24,658.200012,668.000000,655.049988,657.150024,657.150024,10135
2023-11-28,668.849976,668.849976,644.000000,660.450012,660.450012,22050
2023-11-29,661.900024,661.900024,645.750000,651.549988,651.549988,19769
2023-11-30,653.000000,693.950012,653.000000,688.250000,688.250000,26416
2023-12-01,695.000000,697.900024,676.049988,679.750000,679.750000,38956
2023-12-04,695.049988,700.000000,685.900024,693.150024,693.150024,16993
2023-12-05,693.000000,698.200012,676.000000,684.200012,684.200012,8996
2023-12-06,688.750000,695.150024,680.650024,688.099976,688.099976,20776
2023-12-07,690.000000,690.000000,675.349976,679.900024,679.900024,7921
2023-12-08,684.700012,692.000000,670.000000,673.750000,673.750000,10900
2023-12-11,681.349976,696.000000,669.849976,689.599976,689.599976,14141
2023-12-12,689.750000,701.099976,678.000000,686.400024,686.400024,30398
2023-12-13,686.250000,694.750000,679.000000,691.750000,691.750000,24378
2023-12-14,691.849976,697.950012,682.500000,685.500000,685.500000,25994
2023-12-15,690.000000,725.250000,687.200012,719.950012,719.950012,98397
2023-12-18,721.150024,721.599976,701.900024,709.200012,709.200012,20148
2023-12-19,705.349976,715.200012,693.049988,705.150024,705.150024,14226
2023-12-20,706.549988,713.250000,671.000000,685.049988,685.049988,47553
2023-12-21,675.099976,692.900024,670.049988,688.099976,688.099976,36225
2023-12-22,694.849976,717.700012,693.000000,708.700012,708.700012,55296
2023-12-26,714.900024,743.599976,706.150024,738.650024,738.650024,56178
2023-12-27,744.000000,744.000000,722.500000,731.150024,731.150024,36155
2023-12-28,736.150024,750.000000,720.000000,746.299988,746.299988,22852
2023-12-29,747.650024,765.000000,739.750000,756.849976,756.849976,25745
2024-01-01,757.000000,782.900024,748.849976,774.150024,774.150024,63636
